https://en.wikipedia.org/wiki/Rick_Ross	Rick Ross
https://en.wikipedia.org/wiki/Hunter_Hayes	Hunter Hayes
https://en.wikipedia.org/wiki/Lady_Antebellum	Lady Antebellum
https://en.wikipedia.org/wiki/Florida_Georgia_Line	Florida Georgia Line
https://en.wikipedia.org/wiki/Will.i.am	Will.i.am
https://en.wikipedia.org/wiki/Justin_Bieber	Justin Bieber
https://en.wikipedia.org/wiki/Sara_Bareilles	Sara Bareilles
https://en.wikipedia.org/wiki/Passenger_(singer)	Passenger (singer)
https://en.wikipedia.org/wiki/Randy_Houser	Randy Houser
https://en.wikipedia.org/wiki/2_Chainz	2 Chainz
https://en.wikipedia.org/wiki/Paramore	Paramore
